"","survey.number","Deployment_ID","Start_long","Start_lat","End_long","End_lat","Depth","region","Acanthogorgia.sp","Acanthogorgiidae","Calcigorgia.sp","Antipatharia","Coral","Gorgonacea","Isididae","Paragorgia.sp","Alaskagorgia.aleutiana","Muriceides.sp","Plexauridae","Swiftia.sp","Arthrogorgia.sp","Fanellia.sp","Plumarella.aleutiana","Plumarella.sp","Primnoa.pacifica","Primnoidae","Thouarella.sp","Stylasteridae","Halipteris.sp","Pennatulacean","Ptilosarcus.gurneyi","Calcarea","Demosponge","Hexactinellid","Porifera","Bathy","Bcurrent","Btemp","Color","Slope","Tmax","RockCobble"
"1",6,"Data.6.D20140422-T181020",-168.8487533,53.12896667,-168.8457667,53.13436,82.61637011,"AI",19.4872582306747,0,0,0,0,0,0,0,0,0,38.9745164613494,0,6.49575274355823,162.393818588956,0,220.85559328098,0,682.054038073615,0,6.49575274355823,103.932043896932,0,0,0,2552.83082821839,51.9660219484659,0,85.7245712280273,0.0153094921261072,4.95739936828613,661.679077148438,0.246244803071022,60.581371307373,0.84393063583815
"2",6,"Data.6.D20140422-T190901",-168.8784333,53.15316667,-168.8722067,53.15722333,280.4275676,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08668271989887,6.08668271989887,0,0,0,0,304.334135994944,18.2600481596966,0,293.028472900391,0.014715121127665,4.76426887512207,645.513061523438,6.73936700820923,65.9037704467773,0.666083916083916
"3",6,"Data.6.D20140422-T211823",-169.0485317,53.008875,-169.04058,53.01525667,71.66859206,"AI",0,0,41.6498590359233,0,0,0,0,0,0,0,154.699476419144,2.97498993113738,8.92496979341215,80.3247281407093,0,32.7248892425112,0,508.723278224492,0,5.94997986227476,0,0,17.8499395868243,0,583.098026502927,2.97498993113738,0,71.0106811523438,0.017338814213872,4.47819471359253,694.987609863281,0.34076789021492,199.757522583008,0.42378752886836
"4",6,"Data.6.D20140422-T231615",-169.3126083,52.86362167,-169.3138383,52.86082333,87.73604651,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,287.785589840875,0,482.040862983466,0,7.19463974602188,0,0,0,0,259.007030856788,0,0,91.9382858276367,0.0610182546079159,3.73221182823181,690.474487304688,0.502977192401886,355.566680908203,1
"5",6,"Data.6.D20140423-T014807",-169.5746233,52.92254,-169.579115,52.922585,79.6525,"AI",0,0,22.2764212562399,0,0,0,22.2764212562399,22.2764212562399,0,11.1382106281199,1069.26822029951,0,0,144.796738165559,0,2862.52013142682,0,4232.52003868557,89.1056850249594,634.878005802836,0,0,0,0,10524.8664958269,30.7744634395883,0,82.4061660766602,0.0512197501957417,3.84491920471191,576.859741210938,0.227714419364929,498.000610351562,1
"6",6,"Data.6.D20140423-T024808",-169.54582,53.03378,-169.54489,53.03478667,87.87928571,"AI",0,0,1309.96183237919,0,0,0,0,0,625.653412479615,0,3851.67882057763,0,2072.47692883872,1622.788538619,0,6979.9458829757,0,9111.07781923439,254.171698819843,3832.12715143764,0,0,0,0,71657.5915332258,0,0,89.3417816162109,0.0478432103991508,4.10955238342285,564.472351074219,1.06324243545532,450.610687255859,1
"7",6,"Data.6.D20140423-T041021",-169.7896683,53.001525,-169.7866567,53.00184667,81.58842105,"AI",0,0,0,0,0,0,0,0,0,0,0,0,125.801278232725,0,0,41.9337594109084,0,62.9006391163627,0,0,0,0,0,0,31.4503195581813,0,0,83.758171081543,0.0250715706497431,4.25761842727661,515.611450195312,0.846798837184906,301.234588623047,0.198167239404353
"8",6,"Data.6.D20140423-T154424",-171.170425,52.86333333,-171.1641033,52.85727833,213.9093103,"AI",0,0,81.8071319024497,0,0,2.92168328223035,26.2951495400731,55.5119823623766,192.831096627203,1881.56403375634,537.589723930384,0,280.481595094113,587.258339728299,0,2030.56988115009,0,6807.52204759671,718.734087428665,552.198140341535,0,0,0,0,19759.300752986,0,0,215.504669189453,0.0369276851415634,4.18281602859497,488.183166503906,1.7450225353241,336.097503662109,1
"9",6,"Data.6.D20140423-T165506",-171.2896133,52.90009333,-171.2834517,52.89795167,242.8846429,"AI",0,32.5367342545142,27.1139452120951,0,0,0,0,27.1139452120951,16.2683671272571,54.2278904241903,184.374827442247,0,802.572778278016,287.407819248208,0,1361.12004964718,0,3416.35709672399,249.448295951275,298.253397333046,0,0,0,0,22462.9998082395,69.652712565192,0,248.075225830078,0.0419548563659191,4.18493413925171,491.66943359375,1.19364178180695,306.387878417969,1
"10",6,"Data.6.D20140423-T175939",-171.3646967,52.829195,-171.3622517,52.82808167,170.0926573,"AI",0,0,0,0,0,0,81.4154368488387,895.56980534983,1546.89329986324,5454.8342694646,3093.78660098693,0,81.4154368488387,1465.47786375807,0,19621.1202752889,0,99164.0020886667,488.492621168659,327.715806595062,0,0,0,0,45266.9828879039,651.323494765501,0,175.178207397461,0.0474355928599834,4.2793402671814,470.300415039062,0.678544163703918,340.008880615234,1
"11",6,"Data.6.D20140423-T191518",-171.5575417,52.77944667,-171.55595,52.77904667,192.8663158,"AI",0,0,0,0,0,0,0,225.282089784659,0,25.0313433094065,250.313433094065,0,0,50.0626866188131,0,901.128359138635,0,9461.84777095567,876.097015829229,650.81492604457,0,0,0,0,1001.25373237626,0,0,195.542037963867,0.0567589066922665,4.29386234283447,465.105560302734,0.767087042331696,196.986312866211,1
"12",6,"Data.6.D20140423-T205630",-171.258745,52.77672333,-171.2638033,52.777525,146.7507143,"AI",0,39.1836679135492,32.6530565946243,0,0,13.0612226378497,0,58.7755018703238,117.551003740648,287.346898032694,457.142792324741,0,0,26.1224452756995,0,653.061131892487,0,3226.12199154888,45.7142792324741,920.816195968406,0,0,0,0,39242.6852896709,2254.36702729286,0,147.818450927734,0.0484795048832893,4.27783918380737,439.27294921875,0.540297746658325,360.843170166016,1
"13",6,"Data.6.D20140423-T214230",-171.1936133,52.78224167,-171.1950683,52.78246833,189.3144737,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,432.529627666227,0,0,0,0,0,0,865.059255332454,0,0,199.692428588867,0.0453630648553371,4.23994302749634,447.464630126953,2.49424171447754,363.252288818359,1
"14",6,"Data.6.D20140423-T235647",-171.2006533,52.61296167,-171.19827,52.61164,494.5238596,"AI",0,0,0,0,0,0,0,0,0,0,10.3652031522656,0,31.0956094567969,0,0,0,0,1015.78990892203,0,20.7304063045313,0,0,0,0,10.3652031522656,0,0,504.063995361328,0.0470066517591476,4.39223670959473,452.651031494141,1.15297996997833,180.700134277344,0.987556561085973
"15",6,"Data.6.D20140424-T211449",-172.4973467,52.45097167,-172.5065067,52.45189833,125.1363958,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.69536699669848,0,26.0861009900954,0,0,0,0,0,0,0,130.023345947266,0.0411095023155212,3.78850603103638,534.40869140625,1.87155795097351,123.572570800781,0
"16",6,"Data.6.D20140424-T215647",-172.4976733,52.44629333,-172.5043433,52.44773167,116.1930876,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.4921068011047,0,0,0,0,0,0,0,0,0,119.223609924316,0.0413160361349583,3.79843282699585,528.934265136719,0.79756361246109,108.724197387695,0
"17",6,"Data.6.D20140424-T223102",-172.5006517,52.43911333,-172.5052483,52.442305,110.8391459,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102.668603339357,0,73.3347166709695,36.6673583354848,88.0016600051634,0,0,0,0,0,0,0,113.400001525879,0.0415977537631989,3.81306934356689,529.87109375,0.0066503114067018,111.37279510498,0
"18",6,"Data.6.D20140424-T233557",-172.3501667,52.45212667,-172.35119,52.45685667,144.204947,"AI",0,0,0,0,0,5.01387218995945,0,60.1664662795134,0,0,35.0971053297161,0,5.01387218995945,20.0554887598378,0,35.0971053297161,0,180.49939883854,0,8964.80347564749,0,0,0,0,862.386016673025,0,0,146.489517211914,0.0544635206460953,3.85214519500732,516.612854003906,0.265307366847992,211.352386474609,1
"19",6,"Data.6.D20140425-T005303",-172.3680233,52.59687333,-172.3612,52.5974,223.71,"AI",0,0,62.6869149224101,0,0,0,0,11.3976208949837,5.69881044749183,119.675019397328,68.385725369902,0,0,0,0,227.952417899673,0,1310.72640292312,74.0845358173938,1829.31815364488,0,0,0,0,695.254874594003,0,0,232.135055541992,0.0402932614088058,3.67086958885193,603.515686035156,2.35508584976196,145.86457824707,0.680232558139535
"20",6,"Data.6.D20140427-T153257",179.1668983,51.637625,179.1698483,51.63844,594.5696517,"AI",0,0,0,0,0,86.0331077440797,5452.34820328105,21.5082769360199,21.5082769360199,129.04966161612,96.7872462120897,0,0,0,0,354.886569444329,0,451.673815656419,0,3075.68360185085,0,0,0,21.5082769360199,387.148984848359,225.836907828209,0,596.262084960938,0.00628647254779935,4.85740089416504,578.469055175781,7.30565500259399,26.7497882843018,0.887459807073955
"21",6,"Data.6.D20140427-T165247",179.1115983,51.61074833,179.1160083,51.610605,327.4796429,"AI",0,0,8.08763004158075,0,0,0,0,0,56.6134102910652,307.329941580068,169.840230873196,16.1752600831615,40.4381502079037,16.1752600831615,0,40.4381502079037,0,719.799073700686,0,3582.82010842027,0,0,0,0,420.556762162199,24.2628901247422,0,329.576782226562,0.00580987380817533,4.8308367729187,582.69580078125,9.48113822937012,23.7468166351318,1
"22",6,"Data.6.D20140427-T194140",179.291095,51.48398333,179.2991617,51.48299333,212.4804054,"AI",0,0,0,0,0,0,0,0,43.4702695555677,43.4702695555677,108.675673872636,0,0,652.054043170683,0,6976.97826342437,0,12801.9943835448,3303.74048492049,156.319282286903,0,0,0,0,2139.62017630198,26.0532137144838,0,199.107940673828,0.0104389879852533,4.9045467376709,625.076171875,9.30487537384033,54.0006370544434,0.632630410654828
"23",6,"Data.6.D20140428-T222727",179.7200483,52.01186,179.716685,52.019985,63.31869919,"AI",0,0,14.2945067789975,0,0,0,0,0,0,0,2.38241779649959,0,0,0,0,35.7362669474938,0,28.5890135579951,2.38241779649959,11.9120889824979,2.38241779649959,0,0,0,140.562649993476,0,0,63.8692016601562,0.0113789606839418,4.61272573471069,538.418762207031,0.469493120908737,116.272048950195,0.0149082568807339
"24",6,"Data.6.D20140429-T010336",-179.78738,52.04715667,-179.7857733,52.04852833,296.1836207,"AI",0,0,15.043288172676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.043288172676,0,60.173152690704,0,0,0,0,45.129864518028,0,0,309.637786865234,0.0103601533919573,3.86726593971252,619.334045410156,2.8846116065979,97.0270767211914,0
"25",6,"Data.6.D20140502-T151216",-179.488825,52.59248833,-179.493715,52.58824333,116.093662,"AI",0,0,14.7755377376634,0,0,0,0,4.92517924588779,19.7007169835512,59.1021509506535,44.3266132129901,0,9.85035849177559,0,0,7121.80918955375,0,3230.91758530239,34.4762547212146,19.7007169835512,0,0,0,0,522.069000064106,39.4014339671023,0,117.802612304688,0.0172884799540043,4.32125186920166,578.847045898438,0.294809311628342,188.197875976562,0.563428571428571
"26",6,"Data.6.D20140502-T155321",-179.5100417,52.582925,-179.5161167,52.578355,107.3239437,"AI",0,0,24.0360821382719,0,0,0,3.43372601975314,0,3.43372601975314,3.43372601975314,209.457287204941,0,0,3.43372601975314,0,1122.82840845928,0,1744.33281803459,30.9035341777782,360.541232074079,0,0,0,0,7484.35271182414,44.8164833033081,0,111.105827331543,0.0176523234695196,4.32054138183594,571.875427246094,0.382816970348358,193.517166137695,0.564920273348519
"27",6,"Data.6.D20140502-T162907",-179.5374567,52.57802667,-179.5430317,52.57339,101.632526,"AI",0,0,212.862789255563,0,0,0,0,0,42.5725578574914,63.8588367702901,915.30999385633,0,0,0,0,18221.054759179,0,7620.48785696937,0,143.522912845938,0,0,15.9469903162153,0,10004.5510957131,21.2862789255563,0,105.070251464844,0.018354382365942,4.3259711265564,564.674682617188,0.282560795545578,205.575424194336,0.946488294314381
"28",6,"Data.6.D20140502-T170627",-179.5143967,52.5552,-179.5204133,52.55044833,104.0198582,"AI",0,0,0,0,0,0,0,0,22.2429270097175,489.344394172697,1045.41756941563,0,0,66.7287810360002,0,25890.7670408724,0,28115.0597432138,44.485854012587,6.84787946738612,0,0,328.698214434534,0,5983.3473669014,155.700489061174,0,104.577896118164,0.0189718268811703,4.30410480499268,573.884460449219,0.214606106281281,184.368942260742,0.900343642611684
"29",6,"Data.6.D20140502-T184410",-179.8692533,52.55175667,-179.8698667,52.550585,793.8493056,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.6318637682713,0,0,0,0,0,0,761.114013671875,0.00995554681867361,3.79102516174316,544.665893554688,1.68319988250732,29.1717395782471,0
"30",6,"Data.6.D20140502-T210646",179.9191883,52.35655667,179.915895,52.35541833,125.8273038,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.2731336167187,0,41.0925344668749,0,10.2731336167187,20.5462672334375,0,0,0,0,0,0,127.618270874023,0.00973702408373356,4.33955144882202,540.996704101562,0.464224249124527,77.2904663085938,0
"31",6,"Data.6.D20140502-T220958",179.74003,52.32664167,179.7376133,52.32536,133.4893238,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29.2970421099384,0,0,0,29.2970421099384,0,0,135.130172729492,0.00838498678058386,4.29666614532471,525.97021484375,0.144125461578369,59.8009910583496,0.00804597701149425
"32",6,"Data.6.D20140503-T003222",-179.829295,52.16501333,-179.8320683,52.16583833,132.0296167,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.5235225022478,0,28.5235225022478,14.2617612511239,0,0,0,28.5235225022478,14.2617612511239,0,138.924438476562,0.0127084515988827,4.49484205245972,597.713500976562,1.65776181221008,101.409149169922,0
"33",6,"Data.6.D20140503-T012718",-179.7013817,52.16934833,-179.7014533,52.17107667,280.7235915,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6039403538175,0,0,0,0,104.435463184357,243.682747430167,0,282.11279296875,0.0137849664315581,3.87720417976379,616.013610839844,1.50636255741119,53.3463668823242,1
"34",6,"Data.6.D20140503-T022858",-179.7477633,52.10262,-179.7485583,52.10635167,239.4857143,"AI",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.47108409967161,0,0,0,0,0,12.9421681993432,0,245.753631591797,0.0121240150183439,3.85693264007568,617.088623046875,1.4813460111618,92.0027847290039,0
"35",6,"Data.6.D20140503-T042326",179.9062567,52.04649167,179.9079,52.05222,112.3315789,"AI",0,0,160.675771220051,0,0,0,0,0,542.280727840742,20.0844714017369,743.125441981217,0,0,2430.2210394686,0,5904.83459135971,0,4699.76630897898,0,58.4752203687519,3.07764317730273,0,0,20.0844714017369,7330.83206166475,0,0,114.702377319336,0.0105645442381501,4.55250072479248,570.034484863281,0.270768821239471,128.763458251953,0.994305239179954
"36",6,"Data.6.D20140503-T145818",179.3604383,51.29806167,179.364265,51.29925667,99.09268293,"AI",0,0,432.600441909809,0,0,0,0,0,43.2600441909809,86.5200883819618,2163.00220954905,0,648.900662930555,519.120530291771,0,5061.42517041061,0,9430.68963587244,0,2251.7657727285,0,0,0,0,11809.9920640719,43.2600441909809,0,91.8701324462891,0.0347774401307106,4.53716421127319,677.281188964844,0.875800788402557,66.1981201171875,1
"37",6,"Data.6.D20140503-T155001",179.2827533,51.277735,179.2858083,51.278545,97.58131488,"AI",0,0,112.10657599953,0,0,0,0,0,0,280.266440084914,784.746032168887,0,112.10657599953,0,0,9697.21882370108,0,16591.7732517183,0,1265.50341358949,0,0,0,0,20179.1836833589,0,0,95.1850891113281,0.0285386685281992,4.44677591323853,674.190124511719,0.78255021572113,47.1120796203613,1
"38",6,"Data.6.D20140503-T184119",178.7716433,51.37535333,178.770795,51.37433333,494.2726962,"AI",0,0,0,0,0,0,0,0,0,0,15.1751659085884,0,0,0,0,0,0,45.5254977257652,0,455.254977257652,0,0,0,0,166.926824994472,1198.83810677848,0,495.390991210938,0.0123131005093455,4.25053071975708,624.701965332031,2.34682393074036,13.5318212509155,1
"39",6,"Data.6.D20140503-T200809",178.9199017,51.43216667,178.9178583,51.43091,96.11141869,"AI",0,0,399.177030411619,0,0,0,0,0,2223.98631170459,0,4447.97262428599,0,7812.4647372919,0,0,3478.54269304835,0,3706.64385313325,0,1060.94318112435,0,0,8.76812546383764,0,29482.0749593864,0,0,97.1006927490234,0.0167886726558208,4.2748703956604,623.640930175781,0.549898982048035,19.2932758331299,0.954441913439636
"40",6,"Data.6.D20140503-T205407",178.8420683,51.46391167,178.8441083,51.46126,104.0048443,"AI",0,0,124.381890581557,0,0,0,0,0,414.606301833589,1326.74016574156,2446.17718072373,0,3772.9173470949,41.4606301833589,0,8955.49611985735,0,19569.4174445306,0,447.019280448448,0,0,12.5920924069985,0,26907.9489885906,41.4606301833589,0,105.511695861816,0.0120365563780069,4.39912414550781,617.19140625,2.11609649658203,12.5470447540283,0.888513513513513
"41",6,"Data.6.D20140503-T222720",178.6097067,51.52537167,178.6140567,51.52311833,119.1745645,"AI",0,0,32.3072299358743,0,0,0,0,0,96.9216898125455,129.228919733652,2261.50609546197,0,32.3072299358743,32.3072299358743,0,7495.27734307501,0,14732.0968501286,0,472.575282129309,0,0,34.4586143219288,0,18447.4282940094,96.9216898125455,0,113.912200927734,0.0176573097705841,4.3739333152771,575.487121582031,1.31066954135895,13.4887933731079,0.834654586636467
"42",6,"Data.6.D20140503-T230809",178.5638033,51.53929333,178.568675,51.53645667,108.0564912,"AI",0,0,52.3969589554571,0,0,0,0,0,52.3969589554571,104.793917910914,3851.17648370675,0,183.389356384154,0,0,5292.09285658399,0,17893.5614856117,0,1590.15572793644,0,0,4.00543004517995,0,8042.93319894168,0,0,115.904968261719,0.0187397915869951,4.27888441085815,566.127380371094,0.746533870697021,13.4140119552612,0.953596287703016
